Cancer group/site,Year,Sex,State or Territory,Count
Melanoma of the skin,2012,Persons,South Australia,101
Melanoma of the skin,2013,Males,South Australia,70
Melanoma of the skin,2013,Females,South Australia,36
Melanoma of the skin,2013,Persons,South Australia,106
Melanoma of the skin,2014,Males,South Australia,90
Melanoma of the skin,2014,Females,South Australia,33
Melanoma of the skin,2014,Persons,South Australia,123
Melanoma of the skin,2015,Males,South Australia,74
Melanoma of the skin,2015,Females,South Australia,24
Melanoma of the skin,2015,Persons,South Australia,98
Melanoma of the skin,2016,Males,South Australia,56
Melanoma of the skin,2016,Females,South Australia,39
Melanoma of the skin,2016,Persons,South Australia,95
Melanoma of the skin,2017,Males,South Australia,59
Melanoma of the skin,2017,Females,South Australia,25
Melanoma of the skin,2017,Persons,South Australia,84
Melanoma of the skin,2018,Males,South Australia,62
Melanoma of the skin,2018,Females,South Australia,23
Melanoma of the skin,2018,Persons,South Australia,85
Melanoma of the skin,2019,Males,South Australia,79
Melanoma of the skin,2019,Females,South Australia,33
Melanoma of the skin,2019,Persons,South Australia,112
Melanoma of the skin,2020,Males,South Australia,68
Melanoma of the skin,2020,Females,South Australia,39
Melanoma of the skin,2020,Persons,South Australia,107
Melanoma of the skin,2007,Males,Tasmania,12
Melanoma of the skin,2007,Females,Tasmania,4
Melanoma of the skin,2007,Persons,Tasmania,16
Melanoma of the skin,2008,Males,Tasmania,27
Melanoma of the skin,2008,Females,Tasmania,13
Melanoma of the skin,2008,Persons,Tasmania,40
Melanoma of the skin,2009,Males,Tasmania,18
Melanoma of the skin,2009,Females,Tasmania,16
Melanoma of the skin,2009,Persons,Tasmania,34
Melanoma of the skin,2010,Males,Tasmania,20
Melanoma of the skin,2010,Females,Tasmania,10
Melanoma of the skin,2010,Persons,Tasmania,30
Melanoma of the skin,2011,Males,Tasmania,27
Melanoma of the skin,2011,Females,Tasmania,16
Melanoma of the skin,2011,Persons,Tasmania,43
Melanoma of the skin,2012,Males,Tasmania,28
Melanoma of the skin,2012,Females,Tasmania,21
Melanoma of the skin,2012,Persons,Tasmania,49
Melanoma of the skin,2013,Males,Tasmania,21
Melanoma of the skin,2013,Females,Tasmania,12
Melanoma of the skin,2013,Persons,Tasmania,33
Melanoma of the skin,2014,Males,Tasmania,23
Melanoma of the skin,2014,Females,Tasmania,14
Melanoma of the skin,2014,Persons,Tasmania,37
Melanoma of the skin,2015,Males,Tasmania,18
Melanoma of the skin,2015,Females,Tasmania,5
Melanoma of the skin,2015,Persons,Tasmania,23
Melanoma of the skin,2016,Males,Tasmania,23
Melanoma of the skin,2016,Females,Tasmania,7
Melanoma of the skin,2016,Persons,Tasmania,30
Melanoma of the skin,2017,Males,Tasmania,23
Melanoma of the skin,2017,Females,Tasmania,7
Melanoma of the skin,2017,Persons,Tasmania,30
Melanoma of the skin,2018,Males,Tasmania,33
Melanoma of the skin,2018,Females,Tasmania,12
Melanoma of the skin,2018,Persons,Tasmania,45
Melanoma of the skin,2019,Males,Tasmania,26
Melanoma of the skin,2019,Females,Tasmania,14
Melanoma of the skin,2019,Persons,Tasmania,40
Melanoma of the skin,2020,Males,Tasmania,28
Melanoma of the skin,2020,Females,Tasmania,9
Melanoma of the skin,2020,Persons,Tasmania,37
Melanoma of the skin,2007,Males,Victoria,182
Melanoma of the skin,2007,Females,Victoria,95
Melanoma of the skin,2007,Persons,Victoria,277
Melanoma of the skin,2008,Males,Victoria,187
Melanoma of the skin,2008,Females,Victoria,89
Melanoma of the skin,2008,Persons,Victoria,276
Melanoma of the skin,2009,Males,Victoria,218
Melanoma of the skin,2009,Females,Victoria,95
Melanoma of the skin,2009,Persons,Victoria,313
Melanoma of the skin,2010,Males,Victoria,202
Melanoma of the skin,2010,Females,Victoria,92
Melanoma of the skin,2010,Persons,Victoria,294
Melanoma of the skin,2011,Males,Victoria,217
Melanoma of the skin,2011,Females,Victoria,107
Melanoma of the skin,2011,Persons,Victoria,324
Melanoma of the skin,2012,Males,Victoria,210
Melanoma of the skin,2012,Females,Victoria,104
Melanoma of the skin,2012,Persons,Victoria,314
Melanoma of the skin,2013,Males,Victoria,249
Melanoma of the skin,2013,Females,Victoria,118
Melanoma of the skin,2013,Persons,Victoria,367
Melanoma of the skin,2014,Males,Victoria,190
Melanoma of the skin,2014,Females,Victoria,88
Melanoma of the skin,2014,Persons,Victoria,278
Melanoma of the skin,2015,Males,Victoria,215
Melanoma of the skin,2015,Females,Victoria,111
Melanoma of the skin,2015,Persons,Victoria,326
Melanoma of the skin,2016,Males,Victoria,178
Melanoma of the skin,2016,Females,Victoria,85
Melanoma of the skin,2016,Persons,Victoria,263
Melanoma of the skin,2017,Males,Victoria,162
Melanoma of the skin,2017,Females,Victoria,111
Melanoma of the skin,2017,Persons,Victoria,273
Melanoma of the skin,2018,Males,Victoria,195
Melanoma of the skin,2018,Females,Victoria,97
Melanoma of the skin,2018,Persons,Victoria,292
Melanoma of the skin,2019,Males,Victoria,189
Melanoma of the skin,2019,Females,Victoria,85
Melanoma of the skin,2019,Persons,Victoria,274
Melanoma of the skin,2020,Males,Victoria,183
Melanoma of the skin,2020,Females,Victoria,98
Melanoma of the skin,2020,Persons,Victoria,281
Melanoma of the skin,2007,Males,Western Australia,88
Melanoma of the skin,2007,Females,Western Australia,36
Melanoma of the skin,2007,Persons,Western Australia,124
Melanoma of the skin,2008,Males,Western Australia,93
Melanoma of the skin,2008,Females,Western Australia,30
Melanoma of the skin,2008,Persons,Western Australia,123
Melanoma of the skin,2009,Males,Western Australia,90
Melanoma of the skin,2009,Females,Western Australia,47
Melanoma of the skin,2009,Persons,Western Australia,137
Melanoma of the skin,2010,Males,Western Australia,88
Melanoma of the skin,2010,Females,Western Australia,37
Melanoma of the skin,2010,Persons,Western Australia,125
Melanoma of the skin,2011,Males,Western Australia,135
Melanoma of the skin,2011,Females,Western Australia,46
Melanoma of the skin,2011,Persons,Western Australia,181
Melanoma of the skin,2012,Males,Western Australia,112
Melanoma of the skin,2012,Females,Western Australia,39
Melanoma of the skin,2012,Persons,Western Australia,151
Melanoma of the skin,2013,Males,Western Australia,109
Melanoma of the skin,2013,Females,Western Australia,51
Melanoma of the skin,2013,Persons,Western Australia,160
Melanoma of the skin,2014,Males,Western Australia,103
Melanoma of the skin,2014,Females,Western Australia,49
Melanoma of the skin,2014,Persons,Western Australia,152
Melanoma of the skin,2015,Males,Western Australia,102
Melanoma of the skin,2015,Females,Western Australia,54
Melanoma of the skin,2015,Persons,Western Australia,156
Melanoma of the skin,2016,Males,Western Australia,91
Melanoma of the skin,2016,Females,Western Australia,36
Melanoma of the skin,2016,Persons,Western Australia,127
Melanoma of the skin,2017,Males,Western Australia,89
Melanoma of the skin,2017,Females,Western Australia,46
Melanoma of the skin,2017,Persons,Western Australia,135
Melanoma of the skin,2018,Males,Western Australia,80
Melanoma of the skin,2018,Females,Western Australia,52
Melanoma of the skin,2018,Persons,Western Australia,132
Melanoma of the skin,2019,Males,Western Australia,104
Melanoma of the skin,2019,Females,Western Australia,45
Melanoma of the skin,2019,Persons,Western Australia,149
Melanoma of the skin,2020,Males,Western Australia,85
Melanoma of the skin,2020,Females,Western Australia,38
Melanoma of the skin,2020,Persons,Western Australia,123
