Data type,Cancer group/site,Year,Sex,Age group (years),Count
Projections,Melanoma of the skin,2022,Males,75-79,"1,424"
Projections,Melanoma of the skin,2023,Males,75-79,"1,541"
Projections,Melanoma of the skin,2024,Males,75-79,"1,635"
Actual,Melanoma of the skin,1982,Females,75-79,90
Actual,Melanoma of the skin,1983,Females,75-79,83
Actual,Melanoma of the skin,1984,Females,75-79,100
Actual,Melanoma of the skin,1985,Females,75-79,113
Actual,Melanoma of the skin,1986,Females,75-79,115
Actual,Melanoma of the skin,1987,Females,75-79,153
Actual,Melanoma of the skin,1988,Females,75-79,172
Actual,Melanoma of the skin,1989,Females,75-79,166
Actual,Melanoma of the skin,1990,Females,75-79,204
Actual,Melanoma of the skin,1991,Females,75-79,210
Actual,Melanoma of the skin,1992,Females,75-79,225
Actual,Melanoma of the skin,1993,Females,75-79,184
Actual,Melanoma of the skin,1994,Females,75-79,193
Actual,Melanoma of the skin,1995,Females,75-79,225
Actual,Melanoma of the skin,1996,Females,75-79,225
Actual,Melanoma of the skin,1997,Females,75-79,269
Actual,Melanoma of the skin,1998,Females,75-79,266
Actual,Melanoma of the skin,1999,Females,75-79,274
Actual,Melanoma of the skin,2000,Females,75-79,338
Actual,Melanoma of the skin,2001,Females,75-79,308
Actual,Melanoma of the skin,2002,Females,75-79,321
Actual,Melanoma of the skin,2003,Females,75-79,300
Actual,Melanoma of the skin,2004,Females,75-79,354
Actual,Melanoma of the skin,2005,Females,75-79,371
Actual,Melanoma of the skin,2006,Females,75-79,401
Actual,Melanoma of the skin,2007,Females,75-79,361
Actual,Melanoma of the skin,2008,Females,75-79,345
Actual,Melanoma of the skin,2009,Females,75-79,402
Actual,Melanoma of the skin,2010,Females,75-79,365
Actual,Melanoma of the skin,2011,Females,75-79,341
Actual,Melanoma of the skin,2012,Females,75-79,392
Actual,Melanoma of the skin,2013,Females,75-79,436
Actual,Melanoma of the skin,2014,Females,75-79,455
