Data type,Cancer group/site,Year,Sex,Age group (years),Count
Actual,Melanoma of the skin,1977,Males,All ages combined,310
Actual,Melanoma of the skin,1977,Females,All ages combined,199
Actual,Melanoma of the skin,1977,Persons,All ages combined,509
Actual,Melanoma of the skin,1978,Males,15-19,2
Actual,Melanoma of the skin,1978,Persons,15-19,2
Actual,Melanoma of the skin,1978,Males,20-24,9
Actual,Melanoma of the skin,1978,Females,20-24,4
Actual,Melanoma of the skin,1978,Persons,20-24,13
Actual,Melanoma of the skin,1978,Males,25-29,8
Actual,Melanoma of the skin,1978,Females,25-29,6
Actual,Melanoma of the skin,1978,Persons,25-29,14
Actual,Melanoma of the skin,1978,Males,30-34,23
Actual,Melanoma of the skin,1978,Females,30-34,14
Actual,Melanoma of the skin,1978,Persons,30-34,37
Actual,Melanoma of the skin,1978,Males,35-39,25
Actual,Melanoma of the skin,1978,Females,35-39,10
Actual,Melanoma of the skin,1978,Persons,35-39,35
Actual,Melanoma of the skin,1978,Males,40-44,24
Actual,Melanoma of the skin,1978,Females,40-44,9
Actual,Melanoma of the skin,1978,Persons,40-44,33
Actual,Melanoma of the skin,1978,Males,45-49,24
Actual,Melanoma of the skin,1978,Females,45-49,18
Actual,Melanoma of the skin,1978,Persons,45-49,42
Actual,Melanoma of the skin,1978,Males,50-54,38
Actual,Melanoma of the skin,1978,Females,50-54,18
Actual,Melanoma of the skin,1978,Persons,50-54,56
Actual,Melanoma of the skin,1978,Males,55-59,34
Actual,Melanoma of the skin,1978,Females,55-59,16
Actual,Melanoma of the skin,1978,Persons,55-59,50
Actual,Melanoma of the skin,1978,Males,60-64,32
Actual,Melanoma of the skin,1978,Females,60-64,26
Actual,Melanoma of the skin,1978,Persons,60-64,58
Actual,Melanoma of the skin,1978,Males,65-69,32
Actual,Melanoma of the skin,1978,Females,65-69,25
Actual,Melanoma of the skin,1978,Persons,65-69,57
Actual,Melanoma of the skin,1978,Males,70-74,35
Actual,Melanoma of the skin,1978,Females,70-74,16
Actual,Melanoma of the skin,1978,Persons,70-74,51
Actual,Melanoma of the skin,1978,Males,75-79,8
Actual,Melanoma of the skin,1978,Females,75-79,14
Actual,Melanoma of the skin,1978,Persons,75-79,22
Actual,Melanoma of the skin,1978,Males,80-84,10
Actual,Melanoma of the skin,1978,Females,80-84,11
Actual,Melanoma of the skin,1978,Persons,80-84,21
Actual,Melanoma of the skin,1978,Males,85-89,6
Actual,Melanoma of the skin,1978,Females,85-89,4
Actual,Melanoma of the skin,1978,Persons,85-89,10
Actual,Melanoma of the skin,1978,Males,90+,2
Actual,Melanoma of the skin,1978,Females,90+,2
Actual,Melanoma of the skin,1978,Persons,90+,4
Actual,Melanoma of the skin,1978,Males,All ages combined,312
Actual,Melanoma of the skin,1978,Females,All ages combined,193
Actual,Melanoma of the skin,1978,Persons,All ages combined,505
Actual,Melanoma of the skin,1979,Males,15-19,1
Actual,Melanoma of the skin,1979,Females,15-19,1
Actual,Melanoma of the skin,1979,Persons,15-19,2
Actual,Melanoma of the skin,1979,Males,20-24,3
Actual,Melanoma of the skin,1979,Females,20-24,3
Actual,Melanoma of the skin,1979,Persons,20-24,6
Actual,Melanoma of the skin,1979,Males,25-29,11
Actual,Melanoma of the skin,1979,Females,25-29,3
Actual,Melanoma of the skin,1979,Persons,25-29,14
Actual,Melanoma of the skin,1979,Males,30-34,25
Actual,Melanoma of the skin,1979,Females,30-34,10
Actual,Melanoma of the skin,1979,Persons,30-34,35
Actual,Melanoma of the skin,1979,Males,35-39,19
